Japanese,English,Score
こんなすさまじい台風は生まれて始めてだ。,,0.754849970340729
大臣は前言の撤回をせざるをえなかった。,,0.825590133666992
自分の故郷に少しも愛情を感じない人はめったにいません。,,0.852834105491638
こんなにいい天気は久しぶりですと地元の人が言っていた。,,0.863415598869324
彼女を失ってはじめて、お金では買えないものがあることを知った。,,0.888488411903381
昨夜はあの探偵小説について夢中になって、午前2時まで夜ふかししてしまったよ。,,0.891087055206299
今はめがねをかけていないので、あの標示に何と書いてあるのかわかりません。,,0.81139874458313
人によって考え方はまちまち。誰がどんな趣味を持っているのかはわからぬものだ。,,0.908388376235962
それは秘密にしておいた方が良い,,0.942741930484772
カナダでの生活は、案外お金がかからなかった。,,0.768300473690033
一般的に言って、人は年を取るにつれて、ますます寛大になるのです。,,0.927573204040527
天気予報によると、台風は今夜半頃、九州地方に接近するそうです。,,0.918103992938995
こんなに大雪になったのは20年ぶりだ。,,0.944379568099976
先日20年ぶりに帰省した。,,0.810746073722839
外国に行って初めて、日本の大都市のネオンの多さに気づく。,,0.755321383476257
今度の日曜日、天候がよければ奥多摩にハイキングに行きませんか。,,0.795390605926514
外はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,,0.914957344532013
私はおととしの夏、江ノ島に海水浴に行った。,,0.887981176376343
君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,,0.920128583908081
この地に来たのはある調査をするためで、休日を過ごすためではない。,,0.837782263755798
赤ちゃんが目を覚まさないように、私はそっと歩いた。,,0.908892750740051
安売りがすべての消費者の利益になるとは限らない。,,0.926252424716949
新郎新婦は、五時半の特急で新婚旅行に出かけます。,,0.856582522392273
この二か月で内閣支持率を急上昇した。,,0.83685714006424
日本の高校生の大半が、大学入試に備えるために塾に行く。,,0.877318680286408
今年の冬は例年になく雪が多い。,,0.874759376049042
沖縄ほど米軍基地が集中している県は日本には他にはない。,,0.895978093147278
電車もバスもすし詰めで、ずっと立ちっぱなしだった。,,0.751216053962708
午前9時発の新幹線は静岡に停車するかどうか教えてください。,,0.848412811756134
昨夜、急げば終電に間に合っていただろう。,,0.872395038604736
円高のおかげで、最近は海外旅行が安くできるようになった。,,0.920022308826446
今までに私が読んだ多くの本の中で、今ちょうど読み終わった小説ほど感銘を受けた本はない。,,0.971566319465637
学校は勉強だけを教えているところだと思うのは、学校の役割を理解していない証拠です。,,0.921065747737884
ボブはずいぶんと変わっていたので、このまえのクラスで会った時に彼だと分からなかった。,,0.885584712028503
本を読む量が減ったからといって、今の若者の知的欲求が少なくなったということにはならない。,,0.92409074306488
列車で隣に座ったおばあさんに、どこまで行くのと尋ねられた。,,0.846417307853699
本を読むには、積極的に想像力を働かさなければならないからです。,,0.90259861946106
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,,0.950485229492188
東京から大阪までは車で行くと、一日がかりですが、飛行機で行くと、一時間です。,,0.898768305778503
プロ野球はテレビで見るより球場で見た方が100倍面白い。,,0.934374690055847
ヨーロッパ旅行中、どこの国に行っても多くの日本人旅行者に出会うのでうんざりしました。,,0.944913387298584
トムは素晴らしいドラムを持っていますが、誰にも使わせません。,,0.897343575954437
日本の若者の10人のうち7人は、まったく無宗教だと言われる。,,0.917771697044373
僕の発言が彼女を傷つけるなんで思いもしなかった。,,0.901792526245117
幼稚園児がこの通りの交差点でトラックにはねられているのを見て、ショックを受けた。,,0.927944362163544
日本人の観光客の中には、非常識にも多額の現金をズボンの後ろのポケットに入れて持ち歩く者がいる。,,0.939407229423523
子供の頃、もう少し家が広ければと思ったものでした。,,0.891729712486267
この箱を運ぶのにちょっと手を貸していただけませんか。,,0.949983716011047
僕は朝食前に必ず30分ほど散歩することにしている。,,0.877010941505432
目的地に着いたときは、くたくただった。,,0.869822978973389
トムは万事うまくいくと言い張ったが、私は心配で仕方なかった。,,0.958976149559021
先日描いてもらった地図のおかげで、迷わずにここまで来ることができました。,,0.91915225982666
10代の頃、父の仕事の関係でカナダに3年間住んだことがある。,,0.947876334190369
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,,0.913724362850189
丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,,0.942436814308166
人間は5~6歳になる頃には、思ったことを表現できる能力を持つようになる。,,0.941417217254639
いくら運動しても、カロリーを計算していないと減量は無理だよ。,,0.899048924446106
道が混んでいてバスが予定より20分も遅れたものですから。,,0.962774991989136
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,,0.890456557273865
世界には食料が有り余っている国もあれば、何万人もの子供が餓死している国もある。,,0.963909387588501
大気中のCO2の増加は、地球温暖化と密接な関連がある。,,0.97562700510025
私がプレゼントしたイヤリングをして母が会社に行くのを見て、とてもうれしかった。,,0.917251110076904
ウィスキーのボトルを2本も空けて車を運転するのは危険だ。,,0.96699857711792
図書館から昨日借りてきた小説を読み終えたので、今はすることがない。,,0.931563138961792
昨日は数学の予習に追われて4時まで起きていたので、とても眠い。,,0.951002836227417
お金があれば、もう一泊するのだが。,,0.947523951530456
私はアンに遅刻したことを誤ったが、許してはくれなかった。,,0.96723735332489
梅雨に入ってからこの二週間近くも降ったりやんだりしている。,,0.955755591392517
洪水や地震などの被災者を手助けするボランティアとして活動したい。,,0.954191446304321
大地震がいつどこで起こるのかは予測不可能だ。,,0.919607698917389
火災が発生してから30分後に消防隊が到着した。,,0.873195350170136
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,,0.936120808124542
日本人は、他人を傷つけないように自分の気持ちはできるだけ間接的に表現するのがふつうだ。,,0.963802993297577
毎日、家事がとても忙しく、映画を観に行く暇がない。,,0.963895738124847
この地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,,0.961754441261292
まだ決めたわけではありませんが、会社を辞める事を考えています。,,0.89910364151001
図書館に来る学生の中には、まるで喫茶店にいるかのように振る舞う者がいる。,,0.969525933265686
このバイクは、イギリスでは日本のおよそ二倍の値段です。,,0.956732153892517
朝起きたら最初に何をしますか。,,0.982282161712646
インターネットの普及とともに、ここ数年、パソコンの売り上げが急速に伸びている。,,0.982922792434692
率直に言って、私が昨日受けた入学試験は思ってたよりもはるかに難しい。,,0.964872598648071
私は自動車を運転してほとんど30年になるが、幸いこれまで事故にあったことがない。,,0.967442512512207
今朝電車に乗ったとき、空いた席が見つからなかった。,,0.955791652202606
健康を維持する秘訣は、バランスのとれた食事をし定期的に運動することです。,,0.958122730255127
この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,,0.962334871292114
この木の机は重いので私一人では二階まで運べない。,,0.96091890335083
今朝からずっと待っているのに、彼はまだ現れない。,,0.943260490894318
母親のわが子に対する愛情ほど美しいものはない。,,0.970151543617248
この頃、天候が変わりやすい。,,0.969896614551544
読書は我々が子供に伝えなければならない文化遺産の一部だということを忘れてはならない。,,0.962379395961762
東京の気候は私の故郷よりもはるかに穏やかだ。,,0.958348155021668
大学を卒業したら海外で仕事を探すことに決めている。,,0.953765988349915
最初トムは冗談を言っていると思ったが、後で本気だとわかった。,,0.962618589401245
英語を話せさえすれば国際人になれると勘違いしている日本人が多いのは残念だ。,,0.928488194942474
その店で買い物をしていたら、旧友のジムに会いました。,,0.976595044136047
日本を訪れる外国人観光客は年々増えている。,,0.971209526062012
この前の日曜日、生まれて初めてイタリア料理に挑戦してみましたが、とってもおいしいものができました。,,0.961301922798157
ホワイト氏は、四人家族を養うために一生懸命働いた。,,0.951483130455017
もし彼がその電車に乗っていたら、事故に巻き込まれたでしょう。,,0.980214178562164
たいていの日本人は、大部分の時間を生きるために働いで過ごす。,,0.983346283435822
